Generation: 1; Difference: 156.77202148527988; Time: 65204980876;
Generation: 2; Difference: 153.10385436744554; Time: 115475277731;
Generation: 3; Difference: 149.9674338910777; Time: 168142617313;
Generation: 4; Difference: 147.19013620271411; Time: 216730635251;
Generation: 5; Difference: 145.17100711703094; Time: 283785160774;
Generation: 6; Difference: 144.20046973132108; Time: 336667938981;
Generation: 7; Difference: 143.11931972642645; Time: 398562160094;
Generation: 8; Difference: 142.31589053357413; Time: 450388509337;
Generation: 9; Difference: 141.67022245694315; Time: 510350716018;
Generation: 10; Difference: 141.3711094274552; Time: 568249993091;
Generation: 11; Difference: 140.96265884123906; Time: 617334374845;
Generation: 12; Difference: 140.616601894958; Time: 664745939989;
Generation: 13; Difference: 140.29795239314518; Time: 714949939541;
Generation: 14; Difference: 139.9514174770846; Time: 761616316706;
Generation: 15; Difference: 139.7786567800512; Time: 811902640003;
Generation: 16; Difference: 139.49897719250973; Time: 863137936144;
Generation: 17; Difference: 139.23972885357483; Time: 909572349886;
Generation: 18; Difference: 139.14650098847332; Time: 960031101986;
Generation: 19; Difference: 139.04980617922567; Time: 1006815359809;
Generation: 20; Difference: 138.87013966787725; Time: 1056580132642;
Generation: 21; Difference: 138.76475512430912; Time: 1104199866740;
Generation: 22; Difference: 138.61789694114708; Time: 1150795303104;
Generation: 23; Difference: 138.4515356659921; Time: 1201681104343;
Generation: 24; Difference: 138.42657982873908; Time: 1248492958284;
Generation: 25; Difference: 138.3853743746799; Time: 1299160784225;
Generation: 26; Difference: 138.3090684605551; Time: 1346282772546;
Generation: 27; Difference: 138.25098358135526; Time: 1395308194178;
Generation: 28; Difference: 138.14105602171705; Time: 1445718099914;
Generation: 29; Difference: 138.11807940652722; Time: 1493346237880;
Generation: 30; Difference: 138.0559151470602; Time: 1540170444851;
Generation: 31; Difference: 138.0319684359487; Time: 1589424699497;
Generation: 32; Difference: 138.00417703028998; Time: 1635996386493;
Generation: 33; Difference: 137.9697711150766; Time: 1683211044490;
Generation: 34; Difference: 137.8843240083911; Time: 1731738684183;
Generation: 35; Difference: 137.87792958720638; Time: 1779912032778;
Generation: 36; Difference: 137.77515363108418; Time: 1828842417215;
Generation: 37; Difference: 137.72714783244817; Time: 1876426788651;
